chip_stem,region,sza_bin,ic_frac
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10240,KQ,sza_lt65,1.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10496,KQ,sza_lt65,0.9864959716796875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10240,KQ,sza_lt65,0.8742828369140625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10496,KQ,sza_lt65,1.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9472_c10496,KQ,sza_lt65,0.9281768798828125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1536,KQ,sza_lt65,0.080535888671875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1792,KQ,sza_lt65,0.104278564453125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2048,KQ,sza_lt65,0.2249755859375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,KQ,sza_lt65,0.5568084716796875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,KQ,sza_lt65,0.698455810546875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,KQ,sza_lt65,0.7415313720703125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,KQ,sza_lt65,0.389617919921875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,KQ,sza_lt65,0.0478515625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,KQ,sza_lt65,0.1194000244140625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,KQ,sza_lt65,0.25616455078125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,KQ,sza_lt65,0.8675689697265625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,KQ,sza_lt65,0.6119384765625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,KQ,sza_lt65,0.10308837890625
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,KQ,sza_lt65,0.800811767578125
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,KQ,sza_lt65,0.57757568359375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,KQ,sza_lt65,1.0
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,KQ,sza_lt65,0.9782562255859375
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,KQ,sza_lt65,0.7566070556640625
