chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.3250,0.4711
fisser_0005,ic_block_filter,0.5730,0.5068
fisser_0006,ic_block_filter,0.5542,0.5028
fisser_0010,ic_block_filter,0.4345,0.4946
fisser_0035,ic_block_filter,0.2557,0.4673
fisser_0051,ic_block_filter,0.3479,0.4672
fisser_0058,ic_block_filter,0.7402,0.4908
fisser_0076,ic_block_filter,0.9650,0.7643
fisser_0099,ic_block_filter,0.5105,0.4910
fisser_0108,ic_block_filter,0.3998,0.4907
fisser_0114,ic_block_filter,0.3648,0.4789
fisser_0116,ic_block_filter,0.3126,0.4791
fisser_0119,ic_block_filter,0.9963,0.5230
fisser_0120,ic_block_filter,0.2642,0.3584
fisser_0122,ic_block_filter,0.2798,0.4438
fisser_0123,ic_block_filter,0.9968,0.5300
fisser_0131,ic_block_filter,0.3578,0.4447
fisser_0141,ic_block_filter,0.2538,0.4558
fisser_0151,ic_block_filter,0.3437,0.4559
fisser_0152,ic_block_filter,0.5212,0.5101
fisser_0170,ic_block_filter,0.3341,0.4712
fisser_0185,ic_block_filter,0.4176,0.4791
fisser_0188,ic_block_filter,0.3268,0.4206
fisser_0189,ic_block_filter,0.2555,0.4671
fisser_0198,ic_block_filter,0.2960,0.4323
fisser_0199,ic_block_filter,0.9109,0.6157
fisser_0208,ic_block_filter,0.3759,0.4634
fisser_0214,ic_block_filter,0.4663,0.4751
fisser_0215,ic_block_filter,0.4375,0.4907
fisser_0232,ic_block_filter,0.2615,0.4712
fisser_0246,ic_block_filter,0.4763,0.5381
fisser_0249,ic_block_filter,0.2353,0.4400
fisser_0260,ic_block_filter,0.4328,0.4866
fisser_0268,ic_block_filter,0.2639,0.4557
fisser_0269,ic_block_filter,0.4116,0.4672
fisser_0272,ic_block_filter,0.3619,0.4792
fisser_0293,ic_block_filter,0.3039,0.4829
fisser_0301,ic_block_filter,0.5734,0.4679
fisser_0302,ic_block_filter,0.6029,0.4870
fisser_0320,ic_block_filter,0.7384,0.6111
fisser_0326,ic_block_filter,0.5714,0.5261
fisser_0346,ic_block_filter,0.3407,0.4682
fisser_0352,ic_block_filter,0.3668,0.4788
fisser_0364,ic_block_filter,0.7681,0.5687
fisser_0375,ic_block_filter,0.7282,0.6855
fisser_0386,ic_block_filter,0.3184,0.4557
