chip_stem,region,sza_bin,ic_frac,n_polys_prod,n_polys_le_1px,n_polys_le_2px,n_polys_prod_kept,area_m2_prod_kept,n_polys_open,n_polys_open_kept,area_m2_open_kept
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r10240_c2304,KQ,sza_65_70,0.0720977783203125,256,65,103,256,472500.0,88,88,406100.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r10240_c3072,KQ,sza_65_70,0.142822265625,609,148,249,609,936000.0,189,189,769600.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r10496_c2048,KQ,sza_65_70,0.0212554931640625,76,20,30,76,139300.0,30,30,121300.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r10496_c2304,KQ,sza_65_70,0.0895843505859375,189,47,87,189,587100.0,62,62,523800.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r9472_c2048,KQ,sza_65_70,0.1338348388671875,960,259,421,960,877100.0,276,276,611100.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r9728_c2048,KQ,sza_65_70,0.065826416015625,424,110,187,424,431400.0,129,129,321400.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r9984_c1792,KQ,sza_65_70,0.09234619140625,197,62,81,197,605200.0,73,73,555400.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r9984_c2048,KQ,sza_65_70,0.059661865234375,203,57,92,203,391000.0,54,54,338500.0
S2B_MSIL1C_20170918T140959_N0500_R053_T25WES_20230825T143125_r9984_c2304,KQ,sza_65_70,0.089508056640625,258,63,104,258,586600.0,70,70,516900.0
S2A_MSIL1C_20171003T141021_N0500_R053_T25WDR_20230902T085430_r10240_c9984,KQ,sza_70_75,0.006622314453125,12,5,8,12,43400.0,5,5,40000.0
S2A_MSIL1C_20171003T141021_N0500_R053_T25WDR_20230902T085430_r10496_c9984,KQ,sza_70_75,0.0012969970703125,11,4,4,11,8500.0,4,4,5200.0
S2A_MSIL1C_20171003T141021_N0500_R053_T25WES_20230902T085430_r10240_c3072,KQ,sza_70_75,0.0483245849609375,113,37,59,113,316700.0,35,35,282300.0
S2A_MSIL1C_20171003T141021_N0500_R053_T25WES_20230902T085430_r8704_c2048,KQ,sza_70_75,0.0783843994140625,145,47,69,145,513700.0,40,40,465200.0
S2A_MSIL1C_20171003T141021_N0500_R053_T25WES_20230902T085430_r9984_c3072,KQ,sza_70_75,0.0579986572265625,169,61,86,169,380100.0,57,57,311800.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10240_c1536,KQ,sza_70_75,0.0389556884765625,91,22,32,91,255300.0,34,34,211700.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10240_c1792,KQ,sza_70_75,0.0125732421875,25,5,7,25,82400.0,12,12,73700.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10240_c2048,KQ,sza_70_75,0.0105133056640625,36,10,13,36,68900.0,18,18,54400.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10240_c2304,KQ,sza_70_75,0.0164031982421875,36,15,22,36,107500.0,8,8,95900.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10496_c1792,KQ,sza_70_75,0.0054473876953125,19,4,8,19,35700.0,8,8,29900.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10496_c2048,KQ,sza_70_75,0.0502777099609375,26,5,9,26,329500.0,12,12,312900.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10496_c2304,KQ,sza_70_75,0.082366943359375,50,19,23,50,539800.0,24,24,513100.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c1792,KQ,sza_70_75,0.088470458984375,84,23,40,84,579800.0,28,28,555700.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,KQ,sza_70_75,0.064208984375,57,12,19,57,420800.0,22,22,403900.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9984_c1792,KQ,sza_70_75,0.0899505615234375,193,60,87,193,589500.0,64,64,513600.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9984_c2048,KQ,sza_70_75,0.0183868408203125,58,19,30,58,120500.0,17,17,104900.0
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9984_c2304,KQ,sza_70_75,0.0664825439453125,64,22,34,64,435700.0,19,19,417600.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10240_c1536,KQ,sza_70_75,0.0573272705078125,324,103,159,324,375700.0,91,91,266700.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10240_c1792,KQ,sza_70_75,0.0400238037109375,296,127,173,296,262300.0,58,58,189300.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10240_c2048,KQ,sza_70_75,0.0854339599609375,428,152,232,428,559900.0,87,87,435200.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10240_c2304,KQ,sza_70_75,0.018890380859375,94,24,38,94,123800.0,32,32,95100.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10240_c3072,KQ,sza_70_75,0.0390777587890625,167,44,70,167,256100.0,50,50,202400.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c1792,KQ,sza_70_75,0.045379638671875,77,22,35,77,297400.0,20,20,275700.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c2048,KQ,sza_70_75,0.033355712890625,239,85,137,239,218600.0,29,29,148700.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c2304,KQ,sza_70_75,0.05645751953125,128,38,58,128,370000.0,39,39,319100.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c3072,KQ,sza_70_75,0.045318603515625,130,31,55,130,297000.0,39,39,249500.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9216_c2048,KQ,sza_70_75,0.042144775390625,163,65,82,163,276200.0,48,48,237500.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9472_c0768,KQ,sza_70_75,0.1262054443359375,261,66,97,261,827100.0,100,100,709300.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9472_c1024,KQ,sza_70_75,0.0291900634765625,63,9,16,63,191300.0,43,43,172700.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9472_c1280,KQ,sza_70_75,0.0256195068359375,101,17,32,101,167900.0,42,42,139700.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9472_c1536,KQ,sza_70_75,0.121551513671875,503,156,243,503,796600.0,157,157,621800.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9472_c2048,KQ,sza_70_75,0.016357421875,90,18,30,90,107200.0,38,38,83000.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9728_c1024,KQ,sza_70_75,0.04632568359375,155,34,51,155,303600.0,67,67,246000.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9728_c1536,KQ,sza_70_75,0.0782623291015625,427,123,190,427,512900.0,116,116,377600.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9728_c1792,KQ,sza_70_75,0.0733795166015625,436,154,232,436,480900.0,99,99,355800.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9728_c2048,KQ,sza_70_75,0.0771026611328125,159,48,69,159,505300.0,45,45,458000.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1536,KQ,sza_70_75,0.0627593994140625,300,55,88,300,411300.0,139,139,314500.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1792,KQ,sza_70_75,0.075164794921875,396,123,166,396,492600.0,131,131,357900.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c2048,KQ,sza_70_75,0.0234222412109375,110,26,42,110,153500.0,38,38,123600.0
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c2304,KQ,sza_70_75,0.024200439453125,61,17,27,61,158600.0,20,20,143400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10240_c10240,KQ,sza_70_75,0.009185791015625,9,1,1,9,60200.0,9,9,56300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10240_c10496,KQ,sza_70_75,0.0008087158203125,6,1,3,6,5300.0,3,3,4300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10240_c9984,KQ,sza_70_75,0.011322021484375,37,12,18,37,74200.0,12,12,62600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10496_c10240,KQ,sza_70_75,0.0086669921875,5,0,0,5,56800.0,6,6,53800.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10496_c10496,KQ,sza_70_75,0.00048828125,5,1,3,5,3200.0,2,2,2300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r10496_c9984,KQ,sza_70_75,0.000946044921875,1,0,0,1,6200.0,1,1,6000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r8960_c10496,KQ,sza_70_75,0.0511016845703125,32,12,17,32,334900.0,7,7,327800.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9216_c10496,KQ,sza_70_75,0.0659942626953125,990,335,533,990,432500.0,143,143,171800.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9472_c10240,KQ,sza_70_75,0.0859832763671875,1032,313,498,1032,563500.0,225,225,290300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9472_c9984,KQ,sza_70_75,0.1096343994140625,995,290,438,995,718500.0,265,265,445600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9728_c10496,KQ,sza_70_75,0.0834197998046875,69,20,30,69,546700.0,31,31,526400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9728_c9984,KQ,sza_70_75,0.068115234375,733,244,387,733,446400.0,138,138,259400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9984_c10240,KQ,sza_70_75,0.0120849609375,30,3,6,30,79200.0,17,17,70900.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9984_c10496,KQ,sza_70_75,0.002685546875,8,2,2,8,17600.0,3,3,14300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9984_c9984,KQ,sza_70_75,0.0219573974609375,206,77,122,206,143900.0,34,34,96400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c0000,KQ,sza_70_75,0.0192108154296875,143,56,84,143,125900.0,26,26,92700.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c0256,KQ,sza_70_75,0.0081787109375,23,2,4,23,53600.0,12,12,47300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c0512,KQ,sza_70_75,0.0034332275390625,9,2,2,9,22500.0,5,5,18700.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c0768,KQ,sza_70_75,0.000823974609375,11,4,5,11,5400.0,1,1,2200.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c1024,KQ,sza_70_75,0.0013580322265625,7,2,2,7,8900.0,3,3,7000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c10240,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c10496,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c1280,KQ,sza_70_75,0.00103759765625,5,1,3,5,6800.0,1,1,5000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c1536,KQ,sza_70_75,0.0226898193359375,20,7,9,20,148700.0,9,9,143300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c1792,KQ,sza_70_75,0.0108795166015625,33,9,14,33,71300.0,7,7,61000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c2048,KQ,sza_70_75,0.0398712158203125,46,7,14,46,261300.0,23,23,242600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c2304,KQ,sza_70_75,0.01336669921875,31,6,8,31,87600.0,15,15,75300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c2560,KQ,sza_70_75,0.0107421875,11,4,7,11,70400.0,3,3,67200.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c2816,KQ,sza_70_75,0.00103759765625,10,1,3,10,6800.0,5,5,4500.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c3072,KQ,sza_70_75,0.000152587890625,6,3,5,6,1000.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c3328,KQ,sza_70_75,0.00341796875,8,0,1,8,22400.0,3,3,20200.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c3584,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c3840,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c4096,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c4352,KQ,sza_70_75,0.000823974609375,2,0,0,2,5400.0,2,2,5000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c4608,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c4864,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c5120,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c5376,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c5632,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c5888,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c6144,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c6400,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c6656,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c6912,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c7168,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c7424,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c7680,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c7936,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c8192,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c8448,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c8704,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c8960,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c9216,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c9472,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c9728,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0000_c9984,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0000,KQ,sza_70_75,0.00787353515625,26,9,13,26,51600.0,10,10,44200.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0256,KQ,sza_70_75,0.0090484619140625,9,1,1,9,59300.0,9,9,55600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0512,KQ,sza_70_75,7.62939453125e-05,3,1,3,3,500.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c0768,KQ,sza_70_75,0.001190185546875,2,0,0,2,7800.0,2,2,7400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c1024,KQ,sza_70_75,0.0009307861328125,6,2,2,6,6100.0,4,4,4600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c10240,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c10496,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c1280,KQ,sza_70_75,0.0001373291015625,3,2,2,3,900.0,1,1,500.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c1536,KQ,sza_70_75,0.015594482421875,21,5,10,21,102200.0,9,9,94300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c1792,KQ,sza_70_75,0.0115203857421875,17,7,10,17,75500.0,4,4,71900.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2048,KQ,sza_70_75,0.0149993896484375,17,2,2,17,98300.0,12,12,90500.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2304,KQ,sza_70_75,0.004302978515625,13,2,4,13,28200.0,10,10,21600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2560,KQ,sza_70_75,0.0022430419921875,21,4,9,21,14700.0,6,6,7300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2816,KQ,sza_70_75,0.0033111572265625,6,0,0,6,21700.0,6,6,19400.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c3072,KQ,sza_70_75,3.0517578125e-05,1,0,1,1,200.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c3328,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c3584,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c3840,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c4096,KQ,sza_70_75,0.00506591796875,8,5,6,8,33200.0,2,2,31300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c4352,KQ,sza_70_75,3.0517578125e-05,1,0,1,1,200.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c4608,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c4864,KQ,sza_70_75,7.62939453125e-05,1,0,0,1,500.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c5120,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c5376,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c5632,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c5888,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c6144,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c6400,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c6656,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c6912,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c7168,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c7424,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c7680,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c7936,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c8192,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c8448,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c8704,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c8960,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c9216,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c9472,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c9728,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c9984,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c0000,KQ,sza_70_75,0.0035400390625,2,0,0,2,23200.0,2,2,22600.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c0256,KQ,sza_70_75,0.0060272216796875,6,0,1,6,39500.0,7,7,37000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c0512,KQ,sza_70_75,0.001434326171875,5,1,2,5,9400.0,3,3,8000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c0768,KQ,sza_70_75,4.57763671875e-05,2,1,2,2,300.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1024,KQ,sza_70_75,0.0044097900390625,6,2,4,6,28900.0,2,2,27500.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c10240,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c10496,KQ,sza_70_75,0.0,0,0,0,0,0.0,0,0,0.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1280,KQ,sza_70_75,0.0025482177734375,12,9,10,12,16700.0,3,3,14200.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1536,KQ,sza_70_75,0.01123046875,14,2,3,14,73600.0,10,10,68000.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1792,KQ,sza_70_75,0.0028228759765625,15,2,3,15,18500.0,7,7,12300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c2048,KQ,sza_70_75,0.00823974609375,9,1,4,9,54000.0,3,3,51800.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c2304,KQ,sza_70_75,0.001129150390625,7,0,0,7,7400.0,4,4,5500.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c2560,KQ,sza_70_75,0.0029449462890625,12,2,2,12,19300.0,8,8,16300.0
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c2816,KQ,sza_70_75,0.0025482177734375,7,0,2,7,16700.0,4,4,13800.0
