chip_stem,region,sza_bin,otsu_thresh,ice_px_otsu,ice_px_floor_0p3,ice_px_floor_0p5,ice_px_floor_0p7
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,KQ,sza_65_70,0.37178677320480347,370,370,298,212
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,KQ,sza_65_70,0.38061368465423584,1856,1856,1618,1176
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,KQ,sza_65_70,0.4567444324493408,222,222,219,201
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,KQ,sza_65_70,0.3241080641746521,101,101,73,44
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,KQ,sza_65_70,0.0059631140902638435,1253,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,KQ,sza_65_70,0.37308698892593384,154,154,129,98
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,KQ,sza_65_70,0.0064316848292946815,1120,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,KQ,sza_65_70,0.005894120316952467,1113,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,KQ,sza_65_70,0.006597498897463083,1180,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,KQ,sza_65_70,0.13653336465358734,423,137,24,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,KQ,sza_65_70,0.0064522139728069305,1100,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,KQ,sza_65_70,0.0064412672072649,1108,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,KQ,sza_65_70,0.006614196114242077,1101,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,KQ,sza_65_70,0.3957977294921875,268,268,238,183
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,KQ,sza_65_70,0.006596941500902176,1035,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,KQ,sza_65_70,0.2769433259963989,180,169,101,48
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,KQ,sza_65_70,0.08891073614358902,31,2,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,KQ,sza_65_70,0.006495190784335136,1231,0,0,0
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,KQ,sza_65_70,0.21232068538665771,159,117,50,11
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9472_c2048,KQ,sza_70_75,0.4592118263244629,7111,7111,7003,6346
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9728_c2048,KQ,sza_70_75,0.47085583209991455,1611,1611,1593,1486
S2A_MSIL1C_20201003T143041_N0500_R139_T24WVT_20230306T133643_r6400_c10496,KQ,sza_70_75,0.0061181471683084965,1318,0,0,0
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,SK,sza_70_75,0.47501951456069946,18716,18716,18429,16114
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,SK,sza_70_75,0.4671347141265869,10673,10673,10486,9460
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7936_c2560,SK,sza_70_75,0.45494797825813293,2848,2848,2781,2484
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r5120_c9984,KQ,sza_gt75,0.35803890228271484,6152,6152,4912,3263
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3584_c0256,KQ,sza_gt75,0.46701890230178833,1842,1842,1822,1674
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4096_c0256,KQ,sza_gt75,0.4474782347679138,3914,3914,3824,3401
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5120,SK,sza_gt75,0.45924580097198486,3109,3109,3043,2749
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5632,SK,sza_gt75,0.4552850127220154,9214,9214,8944,7815
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r7168_c5120,SK,sza_gt75,0.4514245390892029,5223,5223,5069,4463
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,KQ,sza_65_70,0.005919989198446274,1089,0,0,0
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,KQ,sza_65_70,0.005894550122320652,1275,0,0,0
