chip_stem,reason,ic_frac
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,ic_block_filter,0.3330
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,ic_block_filter,0.2914
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,ic_block_filter,0.7476
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,ic_block_filter,0.1618
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,ic_block_filter,0.3396
