chip_stem,reason,ic_frac,otsu_thresh
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r6912_c5632,ic_block_filter,0.1714,0.4629
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWU_20240715T155321_r6656_c5376,ic_block_filter,0.1881,0.4747
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r7936_c4864,ic_block_filter,0.2306,0.4551
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r8960_c3072,ic_block_filter,0.2513,0.4350
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3072_c4096,ic_block_filter,0.1942,0.4590
