chip_stem,sza_bin,radius_px,n_recovered,total_recovered_m2,max_area_m2,median_area_m2,has_base_mask
fisser_0120,sza_lt65,5,106,619700.0,133600.0,3250.0,False
fisser_0120,sza_lt65,10,52,1708500.0,717700.0,3950.0,False
fisser_0120,sza_lt65,15,11,2225700.0,2177400.0,4600.0,False
fisser_0120,sza_lt65,20,3,2532500.0,2526900.0,3100.0,False
fisser_0122,sza_lt65,5,198,959500.0,54500.0,3000.0,False
fisser_0122,sza_lt65,10,140,1503400.0,577100.0,2900.0,False
fisser_0122,sza_lt65,15,117,1785200.0,874900.0,2800.0,False
fisser_0122,sza_lt65,20,103,1985500.0,1092900.0,2800.0,False
fisser_0151,sza_lt65,5,115,2292600.0,1387700.0,2900.0,False
fisser_0151,sza_lt65,10,48,3207900.0,3018200.0,2750.0,False
fisser_0151,sza_lt65,15,42,3578800.0,3393300.0,2800.0,False
fisser_0151,sza_lt65,20,39,3774100.0,3593600.0,2900.0,False
fisser_0154,sza_lt65,5,0,0.0,0.0,0.0,False
fisser_0154,sza_lt65,10,1,1700.0,1700.0,1700.0,False
fisser_0154,sza_lt65,15,1,2100.0,2100.0,2100.0,False
fisser_0154,sza_lt65,20,3,5300.0,2100.0,1600.0,False
fisser_0168,sza_lt65,5,9,75100.0,47000.0,2700.0,False
fisser_0168,sza_lt65,10,11,100900.0,71400.0,2100.0,False
fisser_0168,sza_lt65,15,11,107300.0,77600.0,2200.0,False
fisser_0168,sza_lt65,20,11,108100.0,77700.0,2200.0,False
fisser_0170,sza_lt65,5,304,1642700.0,100900.0,3100.0,False
fisser_0170,sza_lt65,10,231,2263200.0,444400.0,3700.0,False
fisser_0170,sza_lt65,15,183,2528000.0,621300.0,4000.0,False
fisser_0170,sza_lt65,20,159,2704300.0,731500.0,4000.0,False
fisser_0188,sza_lt65,5,138,2306500.0,608800.0,4250.0,False
fisser_0188,sza_lt65,10,10,3644000.0,3556500.0,3950.0,False
fisser_0188,sza_lt65,15,5,4290900.0,4278400.0,3700.0,False
fisser_0188,sza_lt65,20,4,4644000.0,4636400.0,2950.0,False
fisser_0189,sza_lt65,5,171,806400.0,48000.0,2600.0,False
fisser_0189,sza_lt65,10,170,1037700.0,193900.0,2500.0,False
fisser_0189,sza_lt65,15,172,1135200.0,360500.0,2600.0,False
fisser_0189,sza_lt65,20,180,1193200.0,376200.0,2500.0,False
fisser_0193,sza_lt65,5,11,73600.0,21600.0,2500.0,False
fisser_0193,sza_lt65,10,13,98300.0,26400.0,3700.0,False
fisser_0193,sza_lt65,15,13,104000.0,26900.0,3900.0,False
fisser_0193,sza_lt65,20,13,105300.0,27100.0,4000.0,False
fisser_0198,sza_lt65,5,80,1335400.0,940200.0,3000.0,False
fisser_0198,sza_lt65,10,57,1899100.0,1559200.0,3400.0,False
fisser_0198,sza_lt65,15,50,2099600.0,1769200.0,3250.0,False
fisser_0198,sza_lt65,20,39,2230400.0,1900400.0,3200.0,False
fisser_0199,sza_lt65,5,12,4593400.0,4552300.0,2450.0,False
fisser_0199,sza_lt65,10,3,5726200.0,5709600.0,14500.0,False
fisser_0199,sza_lt65,15,2,5971800.0,5957300.0,2985900.0,False
fisser_0199,sza_lt65,20,2,6047100.0,6032600.0,3023550.0,False
fisser_0204,sza_lt65,5,0,0.0,0.0,0.0,False
fisser_0204,sza_lt65,10,1,1600.0,1600.0,1600.0,False
fisser_0204,sza_lt65,15,1,4200.0,4200.0,4200.0,False
fisser_0204,sza_lt65,20,1,4400.0,4400.0,4400.0,False
fisser_0208,sza_lt65,5,82,2682200.0,1782500.0,3450.0,False
fisser_0208,sza_lt65,10,33,3447000.0,3315100.0,3500.0,False
fisser_0208,sza_lt65,15,31,3751200.0,3619600.0,3500.0,False
fisser_0208,sza_lt65,20,28,3914700.0,3787100.0,3850.0,False
fisser_0214,sza_lt65,5,120,2262000.0,1600800.0,3400.0,False
fisser_0214,sza_lt65,10,97,3003200.0,2310300.0,3300.0,False
fisser_0214,sza_lt65,15,84,3338100.0,2583600.0,3900.0,False
fisser_0214,sza_lt65,20,78,3538800.0,2783500.0,3200.0,False
fisser_0217,sza_lt65,5,19,158300.0,26300.0,3700.0,False
fisser_0217,sza_lt65,10,18,191900.0,45400.0,3700.0,False
fisser_0217,sza_lt65,15,18,198200.0,46900.0,3750.0,False
fisser_0217,sza_lt65,20,18,199200.0,47200.0,3800.0,False
fisser_0225,sza_lt65,5,26,89200.0,12900.0,2150.0,False
fisser_0225,sza_lt65,10,26,91200.0,13600.0,2150.0,False
fisser_0225,sza_lt65,15,28,95800.0,13800.0,2250.0,False
fisser_0225,sza_lt65,20,29,98800.0,14000.0,2200.0,False
fisser_0232,sza_lt65,5,185,872300.0,92400.0,2800.0,False
fisser_0232,sza_lt65,10,199,1066600.0,129500.0,2800.0,False
fisser_0232,sza_lt65,15,194,1162800.0,137300.0,3000.0,False
fisser_0232,sza_lt65,20,182,1233900.0,144800.0,3100.0,False
fisser_0244,sza_lt65,5,21,184000.0,108500.0,3000.0,False
fisser_0244,sza_lt65,10,21,202400.0,124000.0,3000.0,False
fisser_0244,sza_lt65,15,21,212900.0,134100.0,3000.0,False
fisser_0244,sza_lt65,20,21,219600.0,140000.0,3000.0,False
fisser_0246,sza_lt65,5,62,3308400.0,2533500.0,3150.0,False
fisser_0246,sza_lt65,10,2,5645900.0,5643100.0,2822950.0,False
fisser_0246,sza_lt65,15,1,6154700.0,6154700.0,6154700.0,False
fisser_0246,sza_lt65,20,1,6306200.0,6306200.0,6306200.0,False
fisser_0253,sza_lt65,5,5,55500.0,27600.0,9100.0,False
fisser_0253,sza_lt65,10,2,86200.0,74800.0,43100.0,False
fisser_0253,sza_lt65,15,2,96300.0,84800.0,48150.0,False
fisser_0253,sza_lt65,20,2,113100.0,101600.0,56550.0,False
fisser_0260,sza_lt65,5,78,2233400.0,450700.0,4750.0,False
fisser_0260,sza_lt65,10,52,2741800.0,1601000.0,4900.0,False
fisser_0260,sza_lt65,15,48,3013900.0,1805200.0,4600.0,False
fisser_0260,sza_lt65,20,40,3167300.0,2033500.0,4850.0,False
fisser_0261,sza_lt65,5,6,87700.0,30200.0,15300.0,False
fisser_0261,sza_lt65,10,6,106000.0,37600.0,18500.0,False
fisser_0261,sza_lt65,15,7,109900.0,38400.0,16600.0,False
fisser_0261,sza_lt65,20,7,110400.0,38500.0,16600.0,False
fisser_0262,sza_lt65,5,33,140700.0,21700.0,2600.0,False
fisser_0262,sza_lt65,10,36,154000.0,25200.0,2300.0,False
fisser_0262,sza_lt65,15,36,157700.0,25300.0,2300.0,False
fisser_0262,sza_lt65,20,38,164500.0,25500.0,2350.0,False
fisser_0268,sza_lt65,5,152,1488200.0,139700.0,3750.0,False
fisser_0268,sza_lt65,10,56,2547800.0,2045500.0,2950.0,False
fisser_0268,sza_lt65,15,49,2933800.0,2409600.0,3000.0,False
fisser_0268,sza_lt65,20,45,3094600.0,2602000.0,2900.0,False
fisser_0272,sza_lt65,5,189,1434300.0,217100.0,3100.0,False
fisser_0272,sza_lt65,10,162,1760000.0,280000.0,3250.0,False
fisser_0272,sza_lt65,15,149,1903700.0,337300.0,3200.0,False
fisser_0272,sza_lt65,20,140,2021500.0,395500.0,3200.0,False
fisser_0273,sza_lt65,5,5,77900.0,52800.0,5000.0,False
fisser_0273,sza_lt65,10,5,96000.0,70600.0,5000.0,False
fisser_0273,sza_lt65,15,5,97600.0,72200.0,5000.0,False
fisser_0273,sza_lt65,20,5,98300.0,72900.0,5000.0,False
fisser_0290,sza_lt65,5,19,203400.0,37400.0,11000.0,False
fisser_0290,sza_lt65,10,19,231100.0,44700.0,11100.0,False
fisser_0290,sza_lt65,15,19,232200.0,45200.0,11100.0,False
fisser_0290,sza_lt65,20,19,232400.0,45200.0,11100.0,False
fisser_0293,sza_lt65,5,137,1024600.0,162800.0,3400.0,False
fisser_0293,sza_lt65,10,133,1175900.0,202200.0,3400.0,False
fisser_0293,sza_lt65,15,136,1236600.0,217200.0,3400.0,False
fisser_0293,sza_lt65,20,138,1269100.0,246300.0,3200.0,False
fisser_0301,sza_lt65,5,36,1863000.0,1583200.0,2950.0,False
fisser_0301,sza_lt65,10,9,3295900.0,3246300.0,3300.0,False
fisser_0301,sza_lt65,15,5,3753400.0,3722100.0,5600.0,False
fisser_0301,sza_lt65,20,5,3840700.0,3806600.0,7200.0,False
fisser_0319,sza_lt65,5,21,60900.0,8500.0,2400.0,False
fisser_0319,sza_lt65,10,22,67600.0,12900.0,2300.0,False
fisser_0319,sza_lt65,15,26,75400.0,12900.0,2100.0,False
fisser_0319,sza_lt65,20,26,79500.0,14100.0,2350.0,False
fisser_0320,sza_lt65,5,52,3962300.0,3667200.0,3100.0,False
fisser_0320,sza_lt65,10,3,5573500.0,5569700.0,2000.0,False
fisser_0320,sza_lt65,15,1,6092200.0,6092200.0,6092200.0,False
fisser_0320,sza_lt65,20,1,6237900.0,6237900.0,6237900.0,False
fisser_0326,sza_lt65,5,109,2895700.0,1183500.0,3600.0,False
fisser_0326,sza_lt65,10,57,3478900.0,2980100.0,3400.0,False
fisser_0326,sza_lt65,15,46,3740200.0,3289400.0,3350.0,False
fisser_0326,sza_lt65,20,39,3941300.0,3488500.0,4000.0,False
fisser_0348,sza_lt65,5,22,59000.0,3800.0,2650.0,False
fisser_0348,sza_lt65,10,23,62600.0,5300.0,2300.0,False
fisser_0348,sza_lt65,15,25,75200.0,8300.0,2300.0,False
fisser_0348,sza_lt65,20,28,90200.0,15000.0,2300.0,False
fisser_0352,sza_lt65,5,146,1280400.0,113600.0,4050.0,False
fisser_0352,sza_lt65,10,131,1565600.0,447400.0,4100.0,False
fisser_0352,sza_lt65,15,122,1652900.0,488900.0,3950.0,False
fisser_0352,sza_lt65,20,119,1698800.0,507500.0,4000.0,False
fisser_0354,sza_lt65,5,26,83100.0,6900.0,2600.0,False
fisser_0354,sza_lt65,10,26,84700.0,7100.0,2700.0,False
