chip_stem,n_existing_annotations,n_missed_candidates,missed_areas_m2
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3328_c4352,19,12,8900;2300;9500;42800;94100;61300;5900;1700;2100;3700;245000;4500
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9216_c9984,17,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r9728_c5120,75,4,10100;47400;74000;30700
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9472_c1280,2,1,4000
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r6912_c3840,27,0,
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5888_c5632,54,120,2200;8800;2600;3200;5800;4100;2000;3200;1700;1700;4100;1700;7200;6400;10000;1700;1800;1600;3400;8000;2400;2600;1700;8100;2500;2100;9300;2100;2000;3800;6700;1900;1600;10300;8500;3500;1900;3100;7000;4000;15500;2900;1700;6300;2800;2800;1900;32600;2600;1900;5200;1600;4100;2400;1600;1600;6700;2000;9300;2100;10300;2000;7600;4400;1800;14700;2100;3400;2000;1800;2200;5000;9800;7100;1600;1700;7000;2100;12500;77100;20300;6400;5300;2100;4000;8500;2700;3500;1600;2400;3400;4600;2100;2100;8400;13600;4200;1800;13400;2000;10200;1600;1700;2900;3800;9700;11200;3700;47300;2600;25500;5300;3100;1700;1700;3900;1600;1600;2100;3300
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r4864_c6656,4,4,8500;1900;21600;9500
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWT_20240715T155321_r2560_c2560,33,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9216_c1024,2,2,20900;6500
S2B_MSIL1C_20181102T141339_N0500_R053_T24WXT_20230617T110018_r4608_c0000,63,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8448_c4864,2,4,2500;1900;80900;7100
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r1792_c3072,38,21,6300;3500;1700;6700;7400;5000;2500;7600;94800;28000;1600;2900;10100;2700;2300;1800;10400;1600;7600;2400;1700
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r6400_c5632,31,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0256_c4352,9,9,1800;4000;2600;10300;61200;1600;2300;71600;18400
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,29,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r6656_c5632,30,1,121800
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3328_c1536,25,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7168_c2048,17,6,52800;11000;2000;2100;4500;2100
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6400_c5120,62,1,24100
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c3072,15,12,3200;26700;13500;4000;51900;13800;3400;63800;5500;21900;13800;4200
S2B_MSIL1C_20191104T140249_N0500_R010_T25WDR_20230525T120804_r8960_c10496,7,8,4000;4700;2000;6800;27900;4400;10200;8600
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r8448_c2048,11,21,2700;2600;3800;2000;1600;4100;6400;7700;1600;4700;4400;17500;9900;31600;13000;8000;119500;10400;4400;49600;44600
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9984_c10240,9,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r9472_c2048,32,19,2000;2100;21900;18400;7100;47600;19100;28200;30900;1800;2100;25000;37600;2000;2300;26800;5900;2600;1900
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,8,3,22700;3600;1700
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r5632_c6656,37,73,3200;3600;2900;3600;2200;2000;2100;2000;9100;1600;39400;5700;3300;1900;6100;1600;14500;1600;2200;1700;5800;3800;1700;29600;3000;2400;3500;2200;5700;3100;3300;2900;3500;1700;6800;1900;2200;2000;2700;17300;2500;7400;1600;1700;1700;13600;4100;2100;2700;2300;34700;2200;6700;12100;2600;10100;1900;4100;3300;1600;6200;3400;2600;5500;4200;34500;2000;27900;6400;1800;14400;2600;3200
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0000_c4352,29,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6400_c5632,72,3,86000;12400;17600
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5888_c3840,25,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r5632_c5632,25,22,3000;5600;3800;2100;2900;1600;1800;1900;22400;1700;2000;1600;4100;2200;2700;11000;1600;2500;2100;1600;4300;2100
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6400_c5376,98,0,
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c9472,11,0,
S2B_MSIL1C_20201009T140009_N0500_R010_T25WDQ_20230305T173153_r0512_c10240,5,3,26100;6500;8600
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c4608,9,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8448_c1024,25,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3584_c0256,8,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5376_c4096,20,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c6144,1,1,1800
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r5888_c5632,36,2,24100;165100
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6656_c4864,22,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9216_c4864,31,4,3400;3800;4500;1700
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r1280_c3072,3,4,22800;19800;3500;6600
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c3840,18,1,6800
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7680_c3072,7,4,2400;1800;1600;5300
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWU_20230318T171809_r8448_c5120,59,0,
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDQ_20230619T164213_r0000_c10496,11,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r7936_c4864,30,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8192_c2048,9,2,3600;12400
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5632_c4608,1,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r6912_c4096,9,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r4096_c9984,6,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4352_c5632,48,1,7400
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r7424_c1792,10,0,
S2B_MSIL1C_20191113T143349_N0500_R139_T24WWT_20230703T070851_r2048_c1792,17,4,2300;2700;1600;1700
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r8960_c4608,38,11,22200;3100;9300;3500;3400;7700;5000;5200;2300;2400;2100
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r4608_c4608,51,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WVT_20230306T133643_r6400_c10496,2,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r9472_c4864,27,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,48,14,22300;13400;21800;105600;5700;22900;2000;21400;3300;2200;3300;38200;32800;4500
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r4096_c10240,7,0,
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,1,3,1600;2800;232500
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r7424_c1024,85,0,
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c4352,6,0,
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0000_c4352,20,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T25WES_20230808T044242_r10496_c2048,10,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r5120_c9984,45,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7936_c2560,1,9,10200;16200;12800;4000;4700;155500;8500;2300;5000
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,48,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9472_c10240,2,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0512_c4608,21,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4352,2,3,29000;1900;28800
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r6400_c5632,13,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9216_c0000,97,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r9216_c4608,27,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WES_20230707T155818_r8960_c1792,114,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1536_c3328,8,14,1600;2300;3200;150100;1800;3000;3200;1600;2600;3800;1800;4000;38500;10100
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4096_c4096,13,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r8960_c5120,10,0,
S2B_MSIL1C_20171001T141959_N0500_R096_T24WVT_20230815T172207_r6656_c9984,9,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9728_c2816,14,9,3700;1900;1600;4100;1900;2400;2100;4500;3200
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1792,15,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r6144_c5376,31,0,
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7168_c4864,8,0,
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,1,1,58400
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9728_c4352,2,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r7680_c5120,8,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r4352_c4608,8,4,23000;2600;2100;9100
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c5120,1,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r9472_c9984,95,2,1600;1700
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r3072_c1792,10,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3584_c3840,4,6,61200;1600;2200;2400;1700;6200
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r5376_c6912,68,10,2400;1700;20200;2500;4300;2500;18300;3300;8300;2000
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3584_c0768,39,0,
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r10496_c1792,8,0,
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9728_c1792,46,0,
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r7168_c4096,4,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r7680_c5120,36,32,1700;2300;23900;4000;7100;4700;1700;3200;5600;2500;2500;45000;1600;2900;2800;1800;1600;2600;2700;2700;2100;1800;2300;1800;1700;1900;2200;2500;3700;2300;3300;3200
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r9984_c3072,81,0,
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6912_c4864,100,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WDR_20230112T231721_r10240_c10240,2,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0512_c1536,8,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,46,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7680_c4096,21,4,6500;7200;7500;4600
