chip_stem,n_existing_annotations,n_missed_candidates,missed_areas_m2
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r7424_c4608,5,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r1280_c3072,32,5,56800;163500;16600;5900;3400
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r6656_c3840,4,9,2900;10900;2000;2500;3200;2400;2200;4800;3900
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9472_c9984,76,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WEQ_20230817T124207_r0256_c2560,5,10,1700;1800;4500;2000;3200;25900;97800;1900;5600;2300
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWU_20230720T212316_r4864_c6144,85,0,
S2B_MSIL1C_20201009T140009_N0500_R010_T25WEQ_20230305T173153_r0256_c0256,3,0,
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r3840_c1280,21,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,2,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5376,128,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r3584_c1280,12,1,4800
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r5888_c9728,5,0,
S2B_MSIL1C_20181102T141339_N0500_R053_T24WWT_20230617T110018_r6656_c7424,5,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r9728_c0768,8,2,14100;8500
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c7168,116,1,10900
S2B_MSIL1C_20201104T142359_N0500_R096_T24WWU_20230318T134630_r9472_c3584,1,1,47000
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10240_c2304,18,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r0768_c4352,12,0,
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,102,0,
S2A_MSIL1C_20221102T143351_N0510_R139_T24WWU_20240715T155321_r6656_c5888,15,48,1600;13600;17700;1600;3500;1700;2500;5100;5200;7900;2300;61800;8900;2000;14700;34100;1600;6900;7200;5300;6000;9100;25600;6300;3400;52000;5600;16700;4700;117500;8700;17200;108300;5500;1800;5500;1700;1600;103200;3000;28100;2000;3000;3200;1900;1700;4200;1900
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2304_c3584,5,0,
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,112,1,1600
S2B_MSIL1C_20191001T142009_N0500_R096_T24WWU_20230612T151249_r5376_c4608,49,5,92000;57000;95800;78400;51100
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8704_c1280,33,0,
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDR_20230619T164213_r9216_c10496,36,113,2900;26200;4400;1700;2000;3400;2800;12900;6000;2300;3900;8800;2600;7400;4000;3000;2500;10100;3600;2700;2900;4100;2700;4700;1900;1700;1600;7300;25800;14000;4200;4200;1800;15100;2100;2900;2000;21200;7000;1800;1600;6000;4800;3500;1800;8800;1600;3800;5900;3100;1800;2100;3100;9700;6900;3200;11500;10900;2000;5800;4700;7800;5200;3500;18500;4700;2200;2400;12100;1600;2300;2100;1900;5800;3800;29600;5100;1600;1800;3600;3700;5300;4100;1800;14400;1900;9900;2000;1600;1600;1900;1900;4500;1700;2000;2400;2200;1700;8400;7400;5300;3900;5100;7100;5400;6400;5600;2700;1600;1600;2600;3400;3500
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7936_c4864,7,3,1900;2200;3600
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r6656_c4096,31,1,2700
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6912_c5120,68,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,82,9,27000;4400;6300;14700;9300;5100;16200;15100;32700
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,15,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c0512,3,1,167800
S2B_MSIL1C_20171001T141959_N0500_R096_T24WVT_20230815T172207_r5120_c10240,7,0,
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r8448_c7936,2,0,
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8192_c2816,7,0,
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5632,88,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r6912_c4096,2,6,10500;1600;3500;2600;17000;16600
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c8192,35,0,
S2A_MSIL1C_20221004T140031_N0510_R010_T25WES_20240721T141025_r9984_c1792,41,17,6000;1900;2000;5800;1800;1900;5200;1700;6300;7000;6200;5900;1900;21100;4500;4900;2500
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r7424_c4864,16,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WDR_20230817T124207_r9984_c10496,22,1,10400
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r10240_c2560,44,0,
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4096,5,7,5400;3200;10700;8400;7400;3300;14700
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r4864_c6912,2,0,
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,77,0,
S2B_MSIL1C_20171002T135009_N0500_R110_T25WER_20230817T124207_r4608_c6144,16,0,
S2B_MSIL1C_20191104T140249_N0500_R010_T25WER_20230525T120804_r7680_c2560,23,1,1600
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r2048_c1536,28,5,10000;62300;1900;130200;14900
