global_index,tif_path,tif_exists,satellite,date,hour_utc,tile,region,ic_frac,ic_note
133,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170722T153911_N0500_R011_T21WXU_20231016T102307_pB5_27_39_.tif,True,S2A,2017-07-22,15,T21WXU,SK,0.0408,ok
134,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170730T141009_N0500_R053_T24WWU_20230901T040701_pB5_27_13_.tif,True,S2B,2017-07-30,14,T24WWU,SK,0.0,otsu_failed
135,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20220912T140739_N0400_R053_T24WWU_20220912T173328_pB4_14_23_.tif,True,S2B,2022-09-12,14,T24WWU,SK,0.12,ok
136,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20170710T145911_N0500_R125_T22WES_20230901T062816_pB5_25_23_.tif,True,S2A,2017-07-10,14,T22WES,SK,0.0,otsu_failed
137,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170802T141949_N0500_R096_T24WWT_20230804T130632_pB5_8_33_.tif,True,S2B,2017-08-02,14,T24WWT,SK,0.0,otsu_failed
138,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20220714T140739_N0400_R053_T24WWU_20220714T173724_pB4_9_24_.tif,True,S2B,2022-07-14,14,T24WWU,SK,0.483,ok
139,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20180723T141951_N0500_R096_T24WWU_20230628T041823_pB5_27_13_.tif,True,S2A,2018-07-23,14,T24WWU,SK,0.0,otsu_failed
140,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160707T153912_N0500_R011_T22WDB_20231030T140833_pB5_11_38_.tif,True,S2A,2016-07-07,15,T22WDB,SK,0.0,otsu_failed
141,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2B_MSIL1C_20170801T144919_N0500_R082_T22WES_20230804T124536_pB5_13_15_.tif,True,S2B,2017-08-01,14,T22WES,SK,0.0,otsu_failed
142,/mnt/research/v.gomezgilyaspik/students/smishra/S2-iceberg-areas/S2UnetPlusPlus/imgs/S2A_MSIL1C_20160923T145932_N0500_R125_T22WES_20231006T022513_pB5_9_10_.tif,True,S2A,2016-09-23,14,T22WES,SK,0.2383,ok
