chip_stem,reason,ic_frac,otsu_thresh
fisser_0002,ic_block_filter,0.3036,0.4746
fisser_0009,ic_block_filter,0.1730,0.4434
fisser_0010,ic_block_filter,0.4110,0.4903
fisser_0029,ic_block_filter,0.2113,0.4591
fisser_0034,ic_block_filter,0.2039,0.4513
fisser_0045,ic_block_filter,0.5543,0.5059
fisser_0059,ic_block_filter,0.2568,0.4669
fisser_0066,ic_block_filter,0.4974,0.4941
fisser_0074,ic_block_filter,0.2920,0.4708
fisser_0085,ic_block_filter,0.1672,0.4434
fisser_0097,ic_block_filter,0.3744,0.4785
fisser_0106,ic_block_filter,0.5219,0.5019
fisser_0123,ic_block_filter,0.6146,0.5176
fisser_0143,ic_block_filter,0.1667,0.4474
fisser_0164,ic_block_filter,0.6575,0.5215
fisser_0169,ic_block_filter,0.1962,0.4395
fisser_0170,ic_block_filter,0.1678,0.4512
fisser_0175,ic_block_filter,0.1578,0.4434
fisser_0192,ic_block_filter,0.1824,0.4785
fisser_0203,ic_block_filter,0.2806,0.4669
fisser_0209,ic_block_filter,0.3228,0.4786
fisser_0227,ic_block_filter,0.1978,0.4630
fisser_0231,ic_block_filter,0.2329,0.4591
fisser_0246,ic_block_filter,0.1530,0.4434
fisser_0259,ic_block_filter,0.4447,0.4942
fisser_0293,ic_block_filter,0.3107,0.4825
fisser_0300,ic_block_filter,0.3337,0.4747
fisser_0313,ic_block_filter,0.3703,0.4786
fisser_0314,ic_block_filter,0.1912,0.4473
fisser_0324,ic_block_filter,0.1860,0.4552
fisser_0329,ic_block_filter,0.2165,0.4591
fisser_0349,ic_block_filter,0.2542,0.4786
fisser_0352,ic_block_filter,0.2923,0.4707
fisser_0362,ic_block_filter,0.2220,0.4553
fisser_0365,ic_block_filter,0.2998,0.4864
fisser_0373,ic_block_filter,0.5188,0.4903
