chip_stem,reason,ic_frac,otsu_thresh
fisser_0001,ic_block_filter,0.5037,0.5376
fisser_0005,ic_block_filter,0.5099,0.4831
fisser_0006,ic_block_filter,0.6258,0.5661
fisser_0010,ic_block_filter,0.5617,0.5600
fisser_0018,ic_block_filter,0.2909,0.3697
fisser_0019,ic_block_filter,0.3283,0.3637
fisser_0027,ic_block_filter,0.2922,0.3958
fisser_0028,ic_block_filter,0.4500,0.3899
fisser_0035,ic_block_filter,0.4886,0.4323
fisser_0039,ic_block_filter,0.2900,0.3685
fisser_0040,ic_block_filter,0.2521,0.2759
fisser_0051,ic_block_filter,0.4644,0.5079
fisser_0058,ic_block_filter,0.7640,0.5160
fisser_0076,ic_block_filter,0.6315,0.6249
fisser_0083,ic_block_filter,0.1789,0.3645
fisser_0086,ic_block_filter,0.3461,0.3943
fisser_0089,ic_block_filter,0.3311,0.3955
fisser_0099,ic_block_filter,0.5265,0.5364
fisser_0108,ic_block_filter,0.5503,0.5780
fisser_0114,ic_block_filter,0.4662,0.5342
fisser_0116,ic_block_filter,0.4481,0.4980
fisser_0119,ic_block_filter,0.6800,0.6329
fisser_0120,ic_block_filter,0.3766,0.3637
fisser_0122,ic_block_filter,0.5119,0.4188
fisser_0123,ic_block_filter,0.6239,0.6010
fisser_0131,ic_block_filter,0.5919,0.4926
fisser_0141,ic_block_filter,0.3977,0.4324
fisser_0151,ic_block_filter,0.6172,0.5064
fisser_0152,ic_block_filter,0.6396,0.5972
fisser_0154,ic_block_filter,0.2101,0.2851
fisser_0168,ic_block_filter,0.1749,0.3404
fisser_0170,ic_block_filter,0.4633,0.4876
fisser_0181,ic_block_filter,0.2095,0.3563
fisser_0185,ic_block_filter,0.5266,0.4818
fisser_0188,ic_block_filter,0.5959,0.4812
fisser_0189,ic_block_filter,0.4032,0.4616
fisser_0193,ic_block_filter,0.1514,0.3300
fisser_0198,ic_block_filter,0.5185,0.4833
fisser_0199,ic_block_filter,0.6752,0.6290
fisser_0204,ic_block_filter,0.1739,0.2651
fisser_0208,ic_block_filter,0.5841,0.5304
fisser_0213,ic_block_filter,0.2626,0.3735
fisser_0214,ic_block_filter,0.7356,0.5335
fisser_0215,ic_block_filter,0.5474,0.5911
fisser_0217,ic_block_filter,0.2197,0.3501
fisser_0225,ic_block_filter,0.2701,0.3810
fisser_0232,ic_block_filter,0.4230,0.4802
fisser_0244,ic_block_filter,0.2453,0.3845
fisser_0245,ic_block_filter,0.3289,0.3080
fisser_0246,ic_block_filter,0.4936,0.4695
fisser_0249,ic_block_filter,0.3333,0.4632
fisser_0260,ic_block_filter,0.5094,0.5159
fisser_0262,ic_block_filter,0.3335,0.3980
fisser_0268,ic_block_filter,0.3886,0.4943
fisser_0269,ic_block_filter,0.6038,0.5342
fisser_0272,ic_block_filter,0.4828,0.4732
fisser_0290,ic_block_filter,0.1587,0.3826
fisser_0293,ic_block_filter,0.4519,0.5153
fisser_0301,ic_block_filter,0.5673,0.4325
fisser_0302,ic_block_filter,0.6936,0.4704
fisser_0319,ic_block_filter,0.2520,0.3571
fisser_0320,ic_block_filter,0.5372,0.5519
fisser_0326,ic_block_filter,0.6430,0.5833
fisser_0346,ic_block_filter,0.5672,0.5138
fisser_0348,ic_block_filter,0.2568,0.3593
fisser_0352,ic_block_filter,0.5154,0.5471
fisser_0354,ic_block_filter,0.2214,0.3688
fisser_0357,ic_block_filter,0.2836,0.2856
fisser_0364,ic_block_filter,0.6167,0.5194
fisser_0368,ic_block_filter,0.2884,0.3626
fisser_0375,ic_block_filter,0.4349,0.5021
fisser_0386,ic_block_filter,0.5654,0.4451
fisser_0389,ic_block_filter,0.2515,0.3878
fisser_0396,ic_block_filter,0.3056,0.3783
