region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2048,0.1,False,False,0.0,True,0.2249755859375,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,-0.05,False,False,0.0,True,0.5568084716796875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,0.0,False,False,0.0,True,0.5568084716796875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,0.05,False,False,0.0,True,0.5568084716796875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,0.1,False,False,0.0,True,0.5568084716796875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,-0.05,False,False,0.0,True,0.698455810546875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,0.0,False,False,0.0,True,0.698455810546875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,0.05,False,False,0.0,True,0.698455810546875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,0.1,False,False,0.0,True,0.698455810546875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,-0.05,False,False,0.0,True,0.7415313720703125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,0.0,False,False,0.0,True,0.7415313720703125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,0.05,False,False,0.0,True,0.7415313720703125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,0.1,False,False,0.0,True,0.7415313720703125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,-0.05,False,False,0.0,True,0.389617919921875,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,0.0,False,False,0.0,True,0.389617919921875,0,0,0,0.0
