region,sza_bin,chip_stem,cloud_fraction,qa60_available
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c0768,1.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c1024,0.9524,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c1280,0.285,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c1536,0.3661,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c1792,0.0427,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9216_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c0512,0.7783,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c0768,0.9903,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c1024,1.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c1280,0.2136,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c1536,0.9292,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c1792,0.616,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9472_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c0768,0.3872,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c1024,0.5922,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c1280,0.7858,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c1536,0.4662,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c1792,0.5327,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9728_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c1280,0.0027,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c1536,0.007,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c1792,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c2048,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c2304,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r9984_c3072,0.0,True
KQ,sza_65_70,S2A_MSIL1C_20160921T141942_N0500_R096_T25WDS_20231005T053545_r8960_c10240,0.0,True
