epoch,train_loss,val_loss,train_iou,val_iou,lr
1,1.494779,1.749572,0.314059,0.248517,1.00e-04
2,1.138346,1.735954,0.423350,0.214505,9.99e-05
3,1.045987,1.834710,0.471296,0.210515,9.98e-05
4,0.969150,1.944493,0.490241,0.211139,9.96e-05
5,0.939331,2.037240,0.506388,0.205201,9.94e-05
6,0.880069,2.033769,0.555146,0.210473,9.91e-05
7,0.818249,1.949328,0.588319,0.216722,9.88e-05
8,0.824618,1.906839,0.574917,0.215499,9.84e-05
9,0.761427,1.999948,0.612257,0.210138,9.80e-05
10,0.767180,1.966366,0.629891,0.221931,9.76e-05
11,0.712884,1.992251,0.615725,0.223707,9.71e-05
12,0.718855,2.215655,0.604695,0.213927,9.65e-05
13,0.689752,1.724729,0.655895,0.211467,9.59e-05
14,0.622800,1.791803,0.674109,0.226612,9.53e-05
15,0.617810,1.939352,0.680743,0.228501,9.46e-05
16,0.596413,1.815310,0.709560,0.219164,9.39e-05
17,0.612838,1.976682,0.666099,0.214421,9.31e-05
18,0.558466,1.891594,0.703418,0.230899,9.23e-05
19,0.557544,1.791338,0.711061,0.233297,9.14e-05
20,0.551925,1.831366,0.713763,0.234646,9.05e-05
21,0.502292,1.772283,0.727453,0.232909,8.96e-05
22,0.537710,1.799131,0.740894,0.238745,8.86e-05
23,0.501964,1.611768,0.742593,0.245060,8.76e-05
24,0.489757,1.691829,0.729799,0.237039,8.66e-05
25,0.507843,1.769994,0.677480,0.253601,8.55e-05
26,0.430549,1.367914,0.786925,0.286428,8.44e-05
27,0.451902,1.523220,0.724897,0.264704,8.32e-05
28,0.431338,1.533767,0.768790,0.255976,8.21e-05
29,0.442831,1.546368,0.728377,0.271397,8.08e-05
30,0.430867,1.984301,0.745523,0.233269,7.96e-05
31,0.392415,1.824626,0.789221,0.238168,7.83e-05
32,0.407273,1.504825,0.782757,0.257032,7.70e-05
33,0.455875,1.561350,0.743674,0.271478,7.57e-05
34,0.371900,1.894398,0.769448,0.237386,7.43e-05
35,0.402704,1.445293,0.782087,0.269837,7.30e-05
36,0.341617,1.620762,0.794823,0.250334,7.16e-05
37,0.362317,1.929351,0.784232,0.233354,7.02e-05
38,0.336143,1.664386,0.804968,0.253879,6.87e-05
39,0.339274,1.779104,0.811846,0.245352,6.73e-05
40,0.340453,1.626939,0.795719,0.257177,6.58e-05
41,0.338420,1.948803,0.794789,0.236399,6.43e-05
42,0.383104,1.672147,0.817718,0.240280,6.28e-05
43,0.328347,1.843160,0.791815,0.243309,6.13e-05
44,0.308746,1.855844,0.817168,0.245129,5.98e-05
45,0.313348,1.728027,0.807189,0.248156,5.82e-05
46,0.299613,1.949069,0.830505,0.232313,5.67e-05
47,0.331638,1.785861,0.823498,0.244768,5.52e-05
48,0.358763,1.940581,0.733672,0.250914,5.36e-05
49,0.297607,1.492368,0.823242,0.268708,5.21e-05
50,0.310385,1.577175,0.818517,0.253365,5.05e-05
51,0.341289,1.587424,0.822879,0.255113,4.89e-05
52,0.357391,1.717457,0.779904,0.241207,4.74e-05
53,0.277388,1.688480,0.829839,0.243197,4.58e-05
54,0.266809,1.565667,0.837973,0.264732,4.43e-05
55,0.266444,1.544515,0.847716,0.261730,4.28e-05
56,0.271381,1.537927,0.836679,0.267239,4.12e-05
57,0.327196,1.566507,0.840693,0.264543,3.97e-05
58,0.307798,1.622864,0.787054,0.269128,3.82e-05
59,0.297486,1.668562,0.821572,0.250887,3.67e-05
60,0.259117,1.726041,0.848550,0.249820,3.52e-05
61,0.266421,1.591044,0.826423,0.263324,3.37e-05
62,0.263357,1.659632,0.854879,0.252086,3.23e-05
63,0.286507,1.613295,0.806324,0.266898,3.08e-05
64,0.257372,1.549399,0.848942,0.265654,2.94e-05
65,0.422437,1.527291,0.840338,0.282394,2.80e-05
66,0.264720,1.500376,0.837919,0.281433,2.67e-05
67,0.318558,1.542941,0.833284,0.274519,2.53e-05
68,0.278349,1.397035,0.788282,0.305613,2.40e-05
69,0.246153,1.407913,0.870795,0.305063,2.27e-05
70,0.264794,1.466166,0.821401,0.292621,2.14e-05
71,0.258638,1.536895,0.849196,0.280943,2.02e-05
72,0.314018,1.551310,0.845671,0.271529,1.89e-05
73,0.304327,1.499540,0.806855,0.285929,1.78e-05
74,0.235767,1.493116,0.855274,0.284020,1.66e-05
75,0.232521,1.545913,0.857275,0.273295,1.55e-05
76,0.242598,1.450379,0.853263,0.294173,1.44e-05
77,0.256523,1.523610,0.832439,0.279966,1.34e-05
78,0.238116,1.476814,0.852775,0.291917,1.24e-05
79,0.259800,1.540866,0.859131,0.272202,1.14e-05
80,0.232329,1.547223,0.849666,0.273838,1.05e-05
81,0.243668,1.519432,0.848451,0.283236,9.56e-06
82,0.230151,1.520886,0.857086,0.280254,8.71e-06
83,0.244323,1.525931,0.855704,0.279904,7.89e-06
84,0.248660,1.549738,0.852316,0.271627,7.12e-06
85,0.287436,1.518410,0.830618,0.283982,6.40e-06
86,0.237302,1.522268,0.852864,0.283327,5.71e-06
87,0.234338,1.558803,0.863730,0.274247,5.07e-06
88,0.245673,1.552750,0.846000,0.277942,4.48e-06
89,0.232730,1.544265,0.857540,0.274761,3.93e-06
90,0.237518,1.560196,0.849187,0.279151,3.42e-06
91,0.280433,1.589475,0.815087,0.277375,2.97e-06
92,0.230811,1.525712,0.866080,0.285409,2.56e-06
93,0.291806,1.558175,0.859840,0.276283,2.19e-06
94,0.260592,1.623985,0.825761,0.267030,1.88e-06
95,0.243654,1.558178,0.845911,0.275888,1.61e-06
96,0.246970,1.563948,0.843097,0.275820,1.39e-06
97,0.239639,1.561592,0.851366,0.276034,1.22e-06
98,0.221574,1.510321,0.864920,0.284026,1.10e-06
99,0.239554,1.555501,0.847435,0.278103,1.02e-06
100,0.214532,1.517228,0.865806,0.285291,1.00e-06

test_loss,1.062840
test_iou,0.422687
