chip_stem,region,sza_bin,otsu,fixed_ic,otsu_ic,a_skip,b_skip,outcome
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c4096,SK,sza_gt75,0.5489046573638916,0.1669464111328125,0.1219329833984375,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c4352,SK,sza_gt75,0.7338941097259521,0.663360595703125,0.4170074462890625,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c4608,SK,sza_gt75,0.6209306716918945,0.489654541015625,0.340606689453125,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c4864,SK,sza_gt75,0.46412989497184753,0.0323028564453125,0.0059356689453125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c5120,SK,sza_gt75,0.640403687953949,0.0228118896484375,0.0034637451171875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c5376,SK,sza_gt75,0.3633246123790741,0.015960693359375,0.006561279296875,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8704_c5632,SK,sza_gt75,0.6128989458084106,0.5019989013671875,0.143096923828125,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c2560,SK,sza_gt75,0.5407915711402893,0.0818939208984375,0.0507965087890625,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c2816,SK,sza_gt75,0.5110546946525574,0.4703521728515625,0.2750091552734375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c3072,SK,sza_gt75,0.7032192945480347,0.1721343994140625,0.1483917236328125,False,True,b_only_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c3328,SK,sza_gt75,1.0747087001800537,0.9129180908203125,0.302215576171875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c3584,SK,sza_gt75,1.2460287809371948,0.981353759765625,0.4066009521484375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c3840,SK,sza_gt75,0.9549707174301147,0.9188385009765625,0.3016204833984375,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c4096,SK,sza_gt75,0.5746235847473145,0.2841949462890625,0.15789794921875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c4352,SK,sza_gt75,0.56967693567276,0.47998046875,0.2957763671875,True,True,both_skip
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c4608,SK,sza_gt75,0.5263910293579102,0.0264129638671875,0.0133819580078125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c4864,SK,sza_gt75,0.5148487091064453,0.0093231201171875,0.00372314453125,False,False,both_keep
S2A_MSIL1C_20211101T141331_N0500_R053_T24WWU_20221228T011417_r8960_c5120,SK,sza_gt75,0.5828990340232849,0.0142822265625,0.0045928955078125,False,False,both_keep
