chip_stem,reason,ic_frac
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r6656_c5632,ic_block_filter,0.7221
S2A_MSIL1C_20201003T143041_N0500_R139_T24WWU_20230306T133643_r7424_c4864,ic_block_filter,0.3860
S2B_MSIL1C_20181003T141019_N0500_R053_T25WDR_20230619T164213_r9216_c10496,ic_block_filter,0.3726
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3328_c4608,ic_block_filter,0.4118
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,ic_block_filter,0.2253
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c6912,ic_block_filter,0.6225
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6144,ic_block_filter,0.2493
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6400_c5632,ic_block_filter,0.2689
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6912_c5120,ic_block_filter,0.1846
