chip_stem,sza_bin,sigma,thresh_3sigma,thresh_otsu,n_recovered_prod,area_recovered_prod_m2,n_recovered_otsu,area_recovered_otsu_m2,n_recovered_3sigma,area_recovered_3sigma_m2,has_base_mask
fisser_0389,sza_lt65,0.06731587648391724,0.2019476294517517,0.23601269721984863,24,176500.0,16,106500.0,16,110900.0,False
S2A_MSIL1C_20160918T141002_N0500_R053_T25WDR_20230922T140258_r9728_c9984,sza_65_70,0.04751385748386383,0.1425415724515915,0.09803827852010727,69,170500.0,1,2400.0,0,0.0,True
S2A_MSIL1C_20160918T141002_N0500_R053_T25WES_20230922T140258_r10496_c3072,sza_65_70,0.021494539454579353,0.06448361836373806,0.064369335770607,24,134500.0,16,92200.0,16,92200.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r0512_c4352,sza_65_70,0.015514275059103966,0.0465428251773119,0.08981190621852875,4,8300.0,1,2000.0,4,9400.0,True
S2A_MSIL1C_20160924T142932_N0500_R139_T24WWT_20231005T183724_r2560_c3328,sza_65_70,0.03177551180124283,0.09532653540372849,0.15774433314800262,3,80000.0,1,52800.0,1,66700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r2816_c5376,sza_65_70,0.06846748292446136,0.2054024487733841,0.16240254044532776,86,436100.0,0,0.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3584_c4352,sza_65_70,0.056016143411397934,0.1680484302341938,0.14409139752388,14,56700.0,0,0.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r3840_c4864,sza_65_70,0.07076594233512878,0.21229782700538635,0.15908005833625793,28,58900.0,0,0.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4608,sza_65_70,0.07440794259309769,0.22322382777929306,0.1731865108013153,13,26700.0,0,0.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4096_c4864,sza_65_70,0.08233555406332016,0.24700666218996048,0.1590626835823059,47,109900.0,0,0.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4608_c7168,sza_65_70,0.032571274787187576,0.09771382436156273,0.08488769829273224,11,80100.0,8,58100.0,8,52300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,0.07763360440731049,0.23290081322193146,0.132669135928154,40,676600.0,13,81100.0,0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,0.004709738772362471,0.014129216317087412,0.00941464863717556,0,0.0,36,476000.0,31,210000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,0.018911536782979965,0.056734610348939896,0.11363086104393005,3,59300.0,1,38500.0,3,56100.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,0.06665641814470291,0.19996925443410873,0.1065693348646164,29,852500.0,25,409700.0,13,76400.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,0.018240826204419136,0.05472247861325741,0.1490873098373413,5,63300.0,3,16600.0,5,58300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,0.12070704996585846,0.3621211498975754,0.26977401971817017,62,2331900.0,30,250300.0,21,183700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,0.00499021215364337,0.014970636460930109,0.09037557989358902,1,3600.0,1,2600.0,2,9100.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,0.04031878709793091,0.12095636129379272,0.16534745693206787,8,113500.0,3,32800.0,3,37800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,0.03537503257393837,0.10612509772181511,0.17784549295902252,4,115600.0,2,56100.0,2,66100.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,sza_65_70,0.01934816874563694,0.05804450623691082,0.08685019612312317,7,89500.0,2,58000.0,5,80700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,sza_65_70,0.08189083635807037,0.24567250907421112,0.27349159121513367,13,378900.0,12,111600.0,12,123200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,sza_65_70,0.045990098267793655,0.13797029480338097,0.259788453578949,1,66000.0,1,45700.0,1,56400.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,sza_65_70,0.002514972584322095,0.007544917752966285,0.0062605468556284904,0,0.0,38,87400.0,16,34100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,sza_65_70,0.052395373582839966,0.1571861207485199,0.18438415229320526,3,150100.0,3,75500.0,5,90100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,sza_65_70,0.08274498581886292,0.24823495745658875,0.12766796350479126,27,901400.0,30,425100.0,13,79500.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,sza_65_70,0.018946945667266846,0.05684083700180054,0.17745351791381836,0,0.0,0,0.0,0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,sza_65_70,0.023349158465862274,0.07004747539758682,0.24067266285419464,4,15000.0,2,4300.0,4,12100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,sza_65_70,0.009808806702494621,0.029426420107483864,0.19354119896888733,1,6700.0,1,3000.0,1,7900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,sza_65_70,0.02559508942067623,0.0767852682620287,0.2914726734161377,2,8900.0,0,0.0,1,1900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,sza_65_70,0.003565168008208275,0.010695504024624825,0.05703124776482582,1,1600.0,0,0.0,2,5500.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,sza_65_70,0.001954766921699047,0.005864300765097141,0.011898631229996681,0,0.0,0,0.0,14,25900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,sza_65_70,0.0036683387588709593,0.011005016276612878,0.00785527378320694,0,0.0,91,227400.0,17,34000.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,sza_65_70,0.006290462799370289,0.018871388398110867,0.016121288761496544,2,14200.0,15,224800.0,16,177500.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,sza_65_70,0.0028293905779719353,0.008488171733915806,0.005765625275671482,0,0.0,162,442300.0,14,28700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,sza_65_70,0.0019711845088750124,0.005913553526625037,0.0036955075338482857,0,0.0,181,621500.0,6,14400.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,sza_65_70,0.0023150136694312096,0.006945041008293629,0.00665136706084013,0,0.0,12,30600.0,12,28700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,sza_65_70,0.044523607939481735,0.1335708238184452,0.2591339945793152,12,35600.0,1,2700.0,2,5400.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,sza_65_70,0.0015447554178535938,0.0046342662535607815,0.020439453423023224,0,0.0,0,0.0,2,3600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,sza_65_70,0.03475768491625786,0.10427305474877357,0.16515761613845825,5,108200.0,4,36900.0,6,68600.0,True
