chip_stem,reason,ic_frac,otsu_thresh
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,ic_block_filter,0.1823,0.4591
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,ic_block_filter,0.2722,0.1746
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,ic_block_filter,0.1580,0.1315
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,ic_block_filter,0.2579,0.1571
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,ic_block_filter,0.1688,0.1161
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,ic_block_filter,0.2619,0.1647
