chip_stem,region,sza_bin,otsu_thresh,n_unique_b08
S2B_MSIL1C_20190901T141739_N0500_R096_T25WDS_20230430T074228_r9472_c10496,KQ,sza_lt65,0.333257794380188,5504
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c1280,KQ,sza_lt65,0.31721892952919006,4216
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c1536,KQ,sza_lt65,0.46319764852523804,3342
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c1792,KQ,sza_lt65,0.366807222366333,5732
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c2048,KQ,sza_lt65,0.3124617040157318,5021
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c2304,KQ,sza_lt65,0.3171376883983612,4635
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c2816,KQ,sza_lt65,0.19395878911018372,5788
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0000_c3072,KQ,sza_lt65,0.19642089307308197,3140
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c1536,KQ,sza_lt65,0.3173291087150574,4541
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c1792,KQ,sza_lt65,0.3637292683124542,4565
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c2048,KQ,sza_lt65,0.3291538953781128,5126
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c2304,KQ,sza_lt65,0.30262187123298645,4695
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c2560,KQ,sza_lt65,0.480837881565094,6885
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c2816,KQ,sza_lt65,0.5423306226730347,7606
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0256_c3072,KQ,sza_lt65,0.20983631908893585,2553
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c1792,KQ,sza_lt65,0.30889570713043213,4745
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c2048,KQ,sza_lt65,0.34786075353622437,5159
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c2304,KQ,sza_lt65,0.33594977855682373,4988
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c2560,KQ,sza_lt65,0.49455276131629944,6883
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c2816,KQ,sza_lt65,0.252117395401001,5216
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0512_c3072,KQ,sza_lt65,0.22676151990890503,3257
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c1792,KQ,sza_lt65,0.22795253992080688,3817
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c2048,KQ,sza_lt65,0.2844380736351013,4334
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c2304,KQ,sza_lt65,0.32528573274612427,4871
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c2560,KQ,sza_lt65,0.2711503803730011,4300
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c2816,KQ,sza_lt65,0.2670363187789917,4387
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c3072,KQ,sza_lt65,0.23152753710746765,3967
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r0768_c3328,KQ,sza_lt65,0.49890583753585815,7511
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c2048,KQ,sza_lt65,0.3561086058616638,4894
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c2304,KQ,sza_lt65,0.34739449620246887,5323
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c2560,KQ,sza_lt65,0.3010052442550659,4747
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c2816,KQ,sza_lt65,0.3229548931121826,4985
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c3072,KQ,sza_lt65,0.26490408182144165,4304
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1024_c3328,KQ,sza_lt65,0.2448185384273529,3798
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c2304,KQ,sza_lt65,0.3021644353866577,4936
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c2560,KQ,sza_lt65,0.34746187925338745,5169
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c2816,KQ,sza_lt65,0.31378963589668274,5058
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c3072,KQ,sza_lt65,0.3451620936393738,5678
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1280_c3328,KQ,sza_lt65,0.23881521821022034,3755
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c2816,KQ,sza_lt65,0.27825644612312317,4560
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c3072,KQ,sza_lt65,0.29561054706573486,4700
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1536_c3328,KQ,sza_lt65,0.3525994122028351,5699
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1792_c3072,KQ,sza_lt65,0.28757303953170776,4467
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r1792_c3328,KQ,sza_lt65,0.2840062379837036,4768
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r2048_c3072,KQ,sza_lt65,0.24962186813354492,4249
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2048,KQ,sza_lt65,0.235456645488739,3050
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2304,KQ,sza_lt65,0.24849432706832886,2694
S2B_MSIL1C_20190901T141739_N0500_R096_T25WER_20230430T074228_r3072_c2560,KQ,sza_lt65,0.22901016473770142,2446
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c1536,KQ,sza_lt65,0.3200168013572693,4521
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c1792,KQ,sza_lt65,0.3637716770172119,4624
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2048,KQ,sza_lt65,0.32223787903785706,4938
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2304,KQ,sza_lt65,0.30262187123298645,4678
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2560,KQ,sza_lt65,0.4768511652946472,6587
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c2816,KQ,sza_lt65,0.5487128496170044,7496
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10240_c3072,KQ,sza_lt65,0.20942282676696777,2598
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c1792,KQ,sza_lt65,0.31038379669189453,4799
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2048,KQ,sza_lt65,0.3546537160873413,5353
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2304,KQ,sza_lt65,0.32914119958877563,4870
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2560,KQ,sza_lt65,0.49455276131629944,7031
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c2816,KQ,sza_lt65,0.46110856533050537,5839
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r10496_c3072,KQ,sza_lt65,0.23436114192008972,3288
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8704_c1792,KQ,sza_lt65,0.30537325143814087,3935
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8704_c2048,KQ,sza_lt65,0.23594453930854797,3689
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c0256,KQ,sza_lt65,0.4729245603084564,6438
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c0512,KQ,sza_lt65,0.42092573642730713,5942
S2B_MSIL1C_20190901T141739_N0500_R096_T25WES_20230430T074228_r8960_c1536,KQ,sza_lt65,0.0010746093466877937,2802
