chip_stem,region,sza_bin,otsu_thresh,n_unique_b08
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10240,KQ,sza_lt65,0.4188224673271179,2915
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r8960_c10496,KQ,sza_lt65,0.4960681200027466,5350
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10240,KQ,sza_lt65,0.19028416275978088,3957
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9216_c10496,KQ,sza_lt65,0.5194388628005981,4077
S2A_MSIL1C_20160901T141952_N0500_R096_T25WDS_20230928T053331_r9472_c10496,KQ,sza_lt65,0.0014416015474125743,3740
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1536,KQ,sza_lt65,0.2965419888496399,2972
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c1792,KQ,sza_lt65,0.3335917890071869,4144
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2048,KQ,sza_lt65,0.3399433493614197,3660
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2304,KQ,sza_lt65,0.2844359278678894,3370
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2560,KQ,sza_lt65,0.4754316210746765,5888
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c2816,KQ,sza_lt65,0.29232966899871826,4924
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10240_c3072,KQ,sza_lt65,0.21284353733062744,2705
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c1792,KQ,sza_lt65,0.2731249928474426,2364
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2048,KQ,sza_lt65,0.3126542866230011,2796
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2304,KQ,sza_lt65,0.2444380819797516,2495
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2560,KQ,sza_lt65,0.4412034749984741,5552
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c2816,KQ,sza_lt65,0.26173242926597595,4747
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r10496_c3072,KQ,sza_lt65,0.21082714200019836,2875
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c1792,KQ,sza_lt65,0.29539570212364197,3240
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8704_c2048,KQ,sza_lt65,0.2928081750869751,3478
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0256,KQ,sza_lt65,0.41788262128829956,2958
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,KQ,sza_lt65,0.48816266655921936,5340
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,KQ,sza_lt65,0.0010251952335238457,2631
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,KQ,sza_lt65,0.31921014189720154,2864
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,KQ,sza_lt65,0.2948794960975647,2677
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,KQ,sza_lt65,0.21780116856098175,4153
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,KQ,sza_lt65,0.5351419448852539,3927
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0768,KQ,sza_lt65,0.5747595429420471,3012
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1024,KQ,sza_lt65,0.5120800733566284,3624
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1280,KQ,sza_lt65,0.5082775354385376,3897
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1536,KQ,sza_lt65,0.43986836075782776,3977
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c1792,KQ,sza_lt65,0.3060142397880554,2993
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c2048,KQ,sza_lt65,0.27764764428138733,3448
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0512,KQ,sza_lt65,0.0014416015474125743,3755
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c0768,KQ,sza_lt65,0.48823437094688416,5158
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1024,KQ,sza_lt65,0.5514802932739258,3812
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1280,KQ,sza_lt65,0.5210724472999573,3722
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1536,KQ,sza_lt65,0.4017871022224426,3997
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c1792,KQ,sza_lt65,0.353538453578949,3530
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c2048,KQ,sza_lt65,0.3217812478542328,3441
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9472_c2304,KQ,sza_lt65,0.00155507808085531,4082
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9728_c0768,KQ,sza_lt65,0.001625976525247097,4489
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9728_c1024,KQ,sza_lt65,0.40834179520606995,4753
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9728_c1280,KQ,sza_lt65,0.36177870631217957,3207
S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9728_c1536,KQ,sza_lt65,0.3134017586708069,3925
