chip_stem,reason,ic_frac,otsu_thresh
S2A_MSIL1C_20161107T141402_N0500_R053_T24WWT_20230921T211238_r6400_c0000,otsu_floor,,0.0011
S2A_MSIL1C_20171102T141341_N0500_R053_T24WVT_20230720T212316_r4864_c9984,otsu_floor,,0.0023
S2A_MSIL1C_20171102T141341_N0500_R053_T24WWT_20230720T212316_r4864_c0000,otsu_floor,,0.0023
S2A_MSIL1C_20201102T143351_N0500_R139_T24WVT_20230318T171809_r4096_c9984,otsu_floor,,0.0038
S2A_MSIL1C_20201102T143351_N0500_R139_T24WWT_20230318T171809_r4864_c0000,otsu_floor,,0.0012
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0768_c3328,ic_block_filter,0.1556,0.2404
